id,name,phone_number,address
1,Yasemin Mielcarek,+49 (0) 6784 140498,"Briemerplatz 10, 59999 Vohenstrauß"
2,Helene Ullrich B.Sc.,04413 761815,"Benno-Wernecke-Straße 0, 77430 Aue"
3,Claire Reising-Ullrich,0686296941,"Guiseppe-Winkler-Allee 133, 96028 Miesbach"
4,Ing. Klothilde Koch II,04082 557601,"Reinhardtstraße 9, 57416 Cottbus"
5,Mathilde Pieper,08728117183,"Keudelstraße 8, 13693 Altentreptow"
6,Frau Anny Schuchhardt B.A.,08540003753,"Wulffring 3/6, 14700 Regen"
7,Stephanie Kühnert,+49(0)0007494725,"Beatrix-Bärer-Weg 27, 45935 Backnang"
8,Otfried Wähner,07936 189660,"Inna-Tschentscher-Straße 31, 84961 Rathenow"
9,Ing. Woldemar Vollbrecht B.Sc.,+49(0)6346 23775,"Maja-Mielcarek-Ring 167, 45300 Altentreptow"
10,Frau Beata Metz MBA.,+49(0) 889643077,"Alexander-Stey-Allee 018, 02175 Osterode am Harz"
11,Gerhard Drubin,+49(0)0388 627746,"Niemeierring 398, 95835 Rottweil"
12,Herr Antonios Börner B.Eng.,0020805220,"Theo-Ackermann-Straße 4/6, 43958 Kemnath"
13,Erdmute Jessel,+49 (0) 6076 058306,"Schmidtkering 3/5, 86379 Brilon"
14,Hassan Kade,+49(0)5290281035,"Gerhardt-Blümel-Ring 7, 37861 Norden"
15,Otfried Knappe MBA.,(04512) 665902,"Salzweg 755, 91694 Witzenhausen"
16,H.-Dieter Bien,03143 94751,"Monika-Reising-Gasse 2, 19117 Luckau"
17,Christina Hoffmann,+49(0)1948 712552,"Nelli-Gude-Straße 1/3, 82632 Helmstedt"
18,Alida Rohleder,+49(0)9952 93926,"Leonie-Köhler-Straße 27, 50336 Jüterbog"
19,Gunhild Jäkel-Hölzenbecher,+49(0)4703 211911,"Silja-Schmiedt-Ring 6/7, 64445 Fulda"
20,Univ.Prof. Marten Schwital B.Eng.,09029 471246,"Geiselstraße 0/8, 43889 Quedlinburg"
21,Thorsten Schmiedt,02783 525603,"Buchholzgasse 8/7, 29653 Hettstedt"
22,Caroline Trommler,+49 (0) 5258 247645,"Harriet-Winkler-Allee 1, 65117 Erkelenz"
23,Prof. Kay-Uwe Steckel B.Eng.,+49 (0) 9831 648844,"Janette-Haase-Ring 5/2, 66772 Wetzlar"
24,Elsbeth Wilms B.A.,+49 (0) 4800 664239,"Beyerring 6/5, 06055 Amberg"
25,Ing. Steffen Jäntsch B.A.,+49(0)5988359996,"Karl-Werner-Gute-Platz 906, 53521 Pegnitz"
26,Magdalena Henck-Schäfer,+49(0) 146441639,"Eigenwilligstraße 7/6, 89107 Eisenach"
27,Klaudia Misicher,0169432471,"Geislerstr. 68, 10371 Sternberg"
28,Arnulf Heuser,02929518793,"Giesela-Hauffer-Weg 4, 67755 Bad Freienwalde"
29,Christof Krein,+49(0) 132706736,"Försterstraße 3/6, 77446 Schwäbisch Hall"
30,Dipl.-Ing. Gordana Kade MBA.,05678 933084,"Schmidtkeweg 2, 68562 Aachen"
31,Alida Hofmann,+49(0) 690150739,"Steinbergstraße 934, 09771 Halberstadt"
32,Dipl.-Ing. Concetta Roht MBA.,+49 (0) 7035 535071,"Marcel-Neureuther-Ring 2, 28079 Kleve"
33,Katharina Benthin,0422812424,"Annie-Herrmann-Weg 383, 04747 Artern"
34,Univ.Prof. Heide-Marie Wiek,+49(0)6255 59149,"Natalija-Briemer-Weg 8, 24484 Freising"
35,Prof. Margaretha Heydrich B.A.,05233 863677,"Grein Grothgasse 2, 68514 Grevenbroich"
36,Hubertus Gierschner MBA.,+49 (0) 6406 973354,"Sauerring 4, 41904 Schwarzenberg"
37,Karl-Josef Wende-Stahr,(02810) 13043,"Annerose-Stey-Gasse 806, 01315 Schwerin"
38,Zlatko Jessel B.Sc.,0537597699,"Heuserstr. 58, 20402 Oschatz"
39,Univ.Prof. Helmut Textor B.A.,+49 (0) 0329 039029,"Vollbrechtstr. 961, 95875 Goslar"
40,Gordana Cichorius-Bolzmann,(09239) 599380,"Eggert-Kaul-Ring 35, 27393 Mellrichstadt"
41,Dariusz Dörschner-Fischer,08995 90036,"Fritschweg 3, 41907 Pegnitz"
42,Erica Benthin,+49(0)3355 53992,"Neureutherweg 58, 74361 Höxter"
43,Ing. Kristian Wesack,+49(0) 094707046,"Atzlerstraße 5, 95030 Starnberg"
44,Univ.Prof. Enno Mielcarek,+49 (0) 3335 770591,"Gumprichring 0/9, 96152 Havelberg"
45,Univ.Prof. Elise Jopich MBA.,0145358714,"Stollgasse 98, 91421 Forst"
46,Sabri Huhn,0156433886,"Tomislav-Hübel-Straße 130, 44957 Hünfeld"
47,Frau Melita Kreusel,+49 (0) 2929 330784,"Ann-Hövel-Ring 4, 63330 Königs Wusterhausen"
48,Konrad Neureuther,+49 (0) 6738 406683,"Röhrdanzring 4/2, 27748 Seelow"
49,Kenneth Ackermann MBA.,0532688819,"Fliegnerstraße 8, 59849 Gadebusch"
50,Gertrud Heinz B.A.,0339759848,"Beckmannstr. 980, 96954 Zerbst"
51,Minna Seip,+49(0)9395 179442,"Pärtzeltweg 5, 01315 Stendal"
52,Univ.Prof. Dorothee Wernecke B.Sc.,+49(0)5028 08145,"Wohlgemutstr. 62, 12506 Berlin"
53,Stanislav Sontag,04819 79953,"Handestr. 597, 26552 Karlsruhe"
